-4.83,-8.89
-4.51,-7.94
-4.19,-7.22
-3.87,-6.65
-3.55,-6.12
-3.23,-5.43
-2.91,-4.89
-2.59,-4.21
-2.27,-3.58
-1.95,-2.84
-1.63,-2.31
-1.31,-1.52
-0.99,-0.89
-0.67,-0.28
-0.35,0.33
-0.03,0.91
0.29,1.64
0.61,2.28
0.93,2.89
1.25,3.45
1.57,4.12
1.89,4.78
2.21,5.39
2.53,6.15
2.85,6.73
3.17,7.31
3.49,7.98
3.81,8.62
4.13,9.24
4.45,9.88
4.77,10.51
5.09,11.19
-4.67,-8.31
-4.35,-7.68
-4.03,-7.02
-3.71,-6.38
-3.39,-5.71
-3.07,-5.12
-2.75,-4.48
-2.43,-3.89
-2.11,-3.22
-1.79,-2.58
-1.47,-1.91
-1.15,-1.28
-0.83,-0.62
-0.51,0.05
-0.19,0.68
0.13,1.32
0.45,1.98
0.77,2.61
1.09,3.25
1.41,3.92
1.73,4.55
2.05,5.21
2.37,5.84
2.69,6.48
3.01,7.15
3.33,7.78
3.65,8.44
3.97,9.08
4.29,9.71
4.61,10.35
4.93,11.01
5.25,11.64
-4.99,-9.01
-4.67,-8.35
-4.35,-7.71
-4.03,-7.04
-3.71,-6.41
-3.39,-5.74
-3.07,-5.11
-2.75,-4.44
-2.43,-3.81
-2.11,-3.14
-1.79,-2.51
-1.47,-1.84
-1.15,-1.21
-0.83,-0.54
-0.51,0.13
-0.19,0.76
0.13,1.43
0.45,2.06
0.77,2.73
1.09,3.36
1.41,4.03
1.73,4.66
2.05,5.33
2.37,5.96
2.69,6.63
3.01,7.26
3.33,7.93
3.65,8.56
3.97,9.23
4.29,9.86
4.61,10.53
4.93,11.16
5.25,11.83
5.57,12.46
5.89,13.13
